Ticker,Description,Price,Change %,Technical Rating,Volume,Change from Open %,Volume*Price,Market Capitalization,Number of Employees,Sector,Industry,"Change 1M, %","Change 1W, %",Exchange
1268,CHINA MEIDONG AUTO HOLDINGS LIMITED,16.42,-2.37812128,Buy,948000,-1.20336943,15566160,21471947171,5076,Retail Trade,Specialty Stores,11.24661247,-2.37812128,HKEX
6989,EXCELLENCE COML PTY & FACS MGT GP L,4.17,-7.33333333,Buy,3568400,-3.24825986,14880228,5491566101,12205,Finance,Real Estate Development,15.83333333,-7.33333333,HKEX
546,FUFENG GROUP LTD,5.24,0,Buy,2828000,0.76923077,14818720,13288319595,15000,Consumer Non-Durables,Food: Specialty/Candy,5.85858586,0,HKEX
590,LUK FOOK HLDGS,21.8,1.1600975,Buy,672000,1.39534884,14649600,12652172385,6000,Retail Trade,Specialty Stores,15.71125265,1.1600975,HKEX
1038,CK INFRASTRUCTURE HOLDINGS LIMITED,40.3,-0.61652036,Buy,359348,-0.61652281,14481724.4,96855524459,2365,Utilities,Electric Utilities,2.54453187,-0.61652036,HKEX
2245,LYGEND RESOURCES & TECHNOLOGY CO,15.82,2.86085826,Buy,914000,3.26370757,14459480,20267300000,,Distribution Services,Wholesale Distributors,63180,2.86085826,HKEX
826,TIANGONG INTERNATIONAL CO LTD,3.1,0,Buy,4564000,1.63934426,14148400,8633499734,3108,Producer Manufacturing,Industrial Machinery,-2.20820189,0,HKEX
2138,EC HEALTHCARE,7.37,-3.2808399,Buy,1911000,-4.28571429,14084070,9000974176,2925,Health Services,Medical/Nursing Services,37.24394786,-3.2808399,HKEX
336,HUABAO INTERNATIONAL HOLDINGS LTD,4.49,2.04545455,Buy,3132000,2.04545455,14062680,14211679117,3583,Consumer Non-Durables,Food: Specialty/Candy,9.7799511,2.04545455,HKEX
1044,HENGAN INTERNATIONAL,37.25,-0.40107484,Buy,375500,-0.26773762,13987375,43463321549,23000,Consumer Non-Durables,Household/Personal Care,3.61613064,-0.40107484,HKEX
2602,ONEWO INC,53.9,-1.55251142,Buy,259438,-1.01010101,13983708.2,6390090000,,Finance,Real Estate Development,23.90804598,-1.55251142,HKEX
1908,C&D INTERNATIONAL INVESTMENT GP LTD,20.3,-2.40384146,Buy,684000,3.3604888,13885200,34070832929.999996,2672,Finance,Real Estate Development,10.80786026,-2.40384146,HKEX
3759,PHARMARON BEIJING CO LTD,47.4,-2.66940652,Buy,291500,-2.56937307,13817100,79906506121,14923,Commercial Services,Miscellaneous Commercial Services,6.75675195,-2.66940652,HKEX
1558,YICHANG HEC CHANGJIANG PHARMACTL CO,7.94,7.73405699,Buy,1731600,5.02645503,13748904,6485361850,3616,Health Technology,Pharmaceuticals: Major,24.45141066,7.73405699,HKEX
998,CHINA CITIC BANK CORPORATION LTD,3.42,-1.15606936,Buy,3987592,-0.86956522,13637564.64,246422608182,55419,Finance,Major Banks,-1.15606936,-1.15606936,HKEX
6823,HKT TRUST AND HKT LTD,9.43,-0.52742616,Sell,1440130,0.31914894,13580425.9,71855957097,15400,Communications,Major Telecommunications,-0.52742616,-0.52742616,HKEX
1821,ESR GROUP LIMITED,16.82,-3.11060466,Sell,807000,-3.11059908,13573740,76940056729,639,Finance,Real Estate Development,-4.64852067,-3.11060466,HKEX
1818,ZHAOJIN MINING INDUSTRY COMPANY LTD,8.56,-1.49597238,Buy,1557000,-1.15473441,13327920,28419714032,6896,Non-Energy Minerals,Precious Metals,-1.04046243,-1.49597238,HKEX
1776,GF SECURITIES CO LTD,11.22,-0.88339223,Buy,1154200,-0.35523979,12950124,127746972295,13174,Finance,Investment Banks/Brokers,-0.88339223,-0.88339223,HKEX
358,JIANGXI COPPER CO,11.56,-3.50584307,Buy,1115017,-2.19966159,12889596.52,58653591886,26166,Non-Energy Minerals,Other Metals/Minerals,2.30088496,-3.50584307,HKEX
1888,KINGBOARD LAMINATES HOLDINGS LTD,8.39,-3.673938,Buy,1520500,-3.2295271,12756995,27175200119,9900,Producer Manufacturing,Electrical Products,2.56723716,-3.673938,HKEX
656,FOSUN INTERNATIONAL,6.5,1.40405616,Buy,1948898,1.40405616,12667837,52562743661,96000,Finance,Multi-Line Insurance,9.42760943,1.40405616,HKEX
3606,FUYAO GLASS INDUSTRY GROUP CO. LTD.,33.8,-1.45772307,Buy,362000,-0.58823529,12235600,105605178610,26532,Consumer Durables,Home Furnishings,-0.87975958,-1.45772307,HKEX
6608,BAIRONG INC,10.5,-2.5974026,Buy,1164000,-1.68539326,12222000,8979100827,1296,Technology Services,Internet Software/Services,25,-2.5974026,HKEX
267,CITIC LIMITED,7.85,-0.38071066,Buy,1503000,0,11798550,229231281063,136637,Finance,Finance/Rental/Leasing,-1.75219024,-0.38071066,HKEX
6055,CHINA TOBACCO INTL (HK) CO LTD,11.84,0.33898305,Buy,991000,0.33898305,11733440,8161824046,30,Consumer Non-Durables,Tobacco,16.765286,0.33898305,HKEX
1766,CRRC CORPORATION LIMITED,3.15,-0.63091483,Buy,3705000,0,11670750,159930915974,160656,Producer Manufacturing,Trucks/Construction/Farm Machinery,-1.5625,-0.63091483,HKEX
2128,CHINA LESSO GROUP HOLDINGS LTD,8.83,-3.81263617,Neutral,1319000,-3.07354555,11646770,28269145300,20400,Producer Manufacturing,Miscellaneous Manufacturing,-6.95468915,-3.81263617,HKEX
1157,ZOOMLION HEAVY IND SC&TH CO LTD,3.9,-2.5,Buy,2975600,0,11604840,53784480756,26036,Producer Manufacturing,Industrial Machinery,7.43801653,-2.5,HKEX
3899,CIMC ENRIC HOLDINGS LIMITED,7.5,-3.22580645,Sell,1526000,-2.97542044,11445000,15719151306,9900,Producer Manufacturing,Industrial Machinery,-10.39426523,-3.22580645,HKEX
2666,GENERTEC UNIVERSAL MED GP CO LTD,4.69,0.21367521,Buy,2422500,0.21367521,11361525,8852405344,15242,Finance,Finance/Rental/Leasing,9.83606557,0.21367521,HKEX
392,BEIJING ENTERPRISE HLDGS,24.75,0,Buy,458959,0.20242915,11359235.25,31216019073,37000,Utilities,Gas Distributors,0.20242509,0,HKEX
587,CHINA CONCH ENVIRONMENT PROTECTION,3.32,1.2195122,Buy,3397777,0.9118541,11280619.64,5991790000,3445,Commercial Services,Miscellaneous Commercial Services,-1.19047619,1.2195122,HKEX
1972,SWIRE PROPERTIES LTD,19.4,-0.20576645,Buy,580993,-0.30832477,11271264.2,113724003124,5000,Finance,Real Estate Development,10.98398169,-0.20576645,HKEX
3613,BEIJING TONG REN TANG CHINESE MEDIC,11.74,1.55709343,Strong Buy,955000,1.55709343,11211700,9676876069,745,Health Technology,Pharmaceuticals: Major,16.46825397,1.55709343,HKEX
3668,YANCOAL AUSTRALIA LTD,29.85,0,Buy,375500,-0.6655574,11208675,40017030322.84649,3196,Energy Minerals,Coal,0.67453626,0,HKEX
83,SINO LAND CO,10.02,-2.52918288,Buy,1096082,0.2,10982741.64,82869773336,7000,Finance,Real Estate Development,3.19258496,-2.52918288,HKEX
2869,GREENTOWN SERVICE GROUP CO LTD,5.53,-5.95238095,Buy,1984000,-5.95238095,10971520,19109881222,37639,Finance,Real Estate Development,3.55805243,-5.95238095,HKEX
636,KERRY LOGISTICS NETWORK LIMITED,15.16,4.6961326,Buy,684000,4.26409904,10369440,26171512112,51400,Transportation,Air Freight/Couriers,10.81871345,4.6961326,HKEX
696,TRAVELSKY TECHNOLOGY,15.74,-1.625,Buy,628054,-1.625,9885569.96,46819353612,6608,Technology Services,Information Technology Services,0.25477707,-1.625,HKEX
2099,CHINA GOLD INTERNATIONAL RESOURC CP,23.15,1.53509217,Buy,421009,1.98237885,9746358.35,9081175658.72498,2169,Non-Energy Minerals,Other Metals/Minerals,5.70776256,1.53509217,HKEX
1992,FOSUN TOURISM GROUP,10.94,-4.20315236,Buy,875200,-3.35689046,9574688,13733532892,10263,Consumer Services,Other Consumer Services,24.74342933,-4.20315236,HKEX
1313,CHINA RESOURCES CEMENT HLDGS,4.35,-2.24719101,Buy,2188443,-2.02702703,9519727.05,31074070543,19491,Non-Energy Minerals,Construction Materials,3.32541568,-2.24719101,HKEX
6869,YANGTZE OPTICAL FIBRE AND CABLE JSC,14.32,1.41643059,Buy,663500,2.13980029,9501320,20508013458,2806,Electronic Technology,Telecommunications Equipment,0.56179775,1.41643059,HKEX
2638,HK ELEC INVS&HK ELEC INVS LTD,5.36,-2.01096892,Sell,1761001,-2.01096892,9438965.36,48334013214,1699,Utilities,Electric Utilities,-7.10571924,-2.01096892,HKEX
9959,LINKLOGIS INC,4.48,-2.18340611,Buy,2106500,-4.88322718,9437120,10528295057,910,Technology Services,Information Technology Services,14.28571429,-2.18340611,HKEX
1212,LIFESTYLE INTERNATIONAL HLDGS,4.98,0,Buy,1871514,0,9320139.72,7479541786,675,Retail Trade,Department Stores,0,0,HKEX
8,PCCW LIMITED,3.57,0.28089888,Buy,2598344,0,9276088.08,27534032116,20600,Communications,Major Telecommunications,5,0.28089888,HKEX
257,CHINA EVERBRIGHT ENVIRONMENT GRP LT,3.43,-1.71919771,Buy,2696000,-0.86705202,9247280,21438984854,11330,Industrial Services,Engineering & Construction,-3.92156863,-1.71919771,HKEX
6886,HUATAI SECURITIES CO LTD,9.05,-1.63043478,Buy,1008600,-1.30861505,9127830,124762000172,14372,Finance,Investment Banks/Brokers,0.44395117,-1.63043478,HKEX
6099,CHINA MERCHANTS SECURITIES CO LTD,7.86,-2.36024845,Buy,1098800,-2.36024845,8636568,125746265132,12005,Finance,Investment Banks/Brokers,2.61096606,-2.36024845,HKEX
152,SHENZHEN INTERNATIONAL HLDGS,7.32,-0.94722598,Buy,1172682,-1.48048452,8584032.24,17645910602,8790,Transportation,Other Transportation,1.94986072,-0.94722598,HKEX
